Call number,,Name,Date/ Time
qp 425 w44 2017 ,  , Parker 6 , 2017-11-09 13:44:00
pr 508 e5 p6 ,  , Parker 6 , 2017-11-09 13:44:00
pr 508 e8 s7 1963 ,  , Parker 6 , 2017-11-09 13:44:00
pr 508 h5 l49 1992 ,  , Parker 6 , 2017-11-09 13:44:00
pr 508 j4 k7 ,  , Parker 6 , 2017-11-09 13:45:00
None ,  , Parker 6 , 2017-11-09 13:45:00
qp 425 w44 2017 ,  , Parker 8 , 2017-11-09 13:46:00
pr 508 e5 p6 ,  , Parker 8 , 2017-11-09 13:46:00
pr 508 e8 s7 1963 ,  , Parker 8 , 2017-11-09 13:46:00
pr 508 h5 l49 1992 ,  , Parker 8 , 2017-11-09 13:46:00
pr 508 j4 k7 ,  , Parker 8 , 2017-11-09 13:46:00
Stopped scanning ,  , Parker 8 , 2017-11-09 13:46:00
pr 508 e5 p6 ,  , Test t , 2017-11-10 15:11:16
pr 508 e8 s7 1963 ,  , Test t , 2017-11-10 15:11:18
pr 508 h5 l49 1992 ,  , Test t , 2017-11-10 15:11:19
pr 508 e5 p6 ,  , Test t , 2017-11-10 15:11:20
pr 508 e8 s7 1963 ,  , Test t , 2017-11-10 15:11:21
pr 508 h5 l49 1992 ,  , Test t , 2017-11-10 15:11:22
Stopped scanning ,  , Test t , 2017-11-10 15:11:24
